folio,cliente,producto,hash,qrData,vigenciaInicio,vigenciaFin,lote
"DHAR-JUN26-D001","DON HARINA / WAWITA","DIESEL","9IMMC6","DHAR-JUN26-D001|DON HARINA / WAWITA|DIESEL|9IMMC6","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D002","DON HARINA / WAWITA","DIESEL","H25GXI","DHAR-JUN26-D002|DON HARINA / WAWITA|DIESEL|H25GXI","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D003","DON HARINA / WAWITA","DIESEL","OLOBIU","DHAR-JUN26-D003|DON HARINA / WAWITA|DIESEL|OLOBIU","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D004","DON HARINA / WAWITA","DIESEL","W57646","DHAR-JUN26-D004|DON HARINA / WAWITA|DIESEL|W57646","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D005","DON HARINA / WAWITA","DIESEL","VCE19M","DHAR-JUN26-D005|DON HARINA / WAWITA|DIESEL|VCE19M","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D006","DON HARINA / WAWITA","DIESEL","NSV6OA","DHAR-JUN26-D006|DON HARINA / WAWITA|DIESEL|NSV6OA","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D007","DON HARINA / WAWITA","DIESEL","G9CC2Y","DHAR-JUN26-D007|DON HARINA / WAWITA|DIESEL|G9CC2Y","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D008","DON HARINA / WAWITA","DIESEL","8PTHHM","DHAR-JUN26-D008|DON HARINA / WAWITA|DIESEL|8PTHHM","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D009","DON HARINA / WAWITA","DIESEL","16AMWA","DHAR-JUN26-D009|DON HARINA / WAWITA|DIESEL|16AMWA","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D010","DON HARINA / WAWITA","DIESEL","ETETKL","DHAR-JUN26-D010|DON HARINA / WAWITA|DIESEL|ETETKL","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D011","DON HARINA / WAWITA","DIESEL","U8ISS6","DHAR-JUN26-D011|DON HARINA / WAWITA|DIESEL|U8ISS6","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D012","DON HARINA / WAWITA","DIESEL","X92ELM","DHAR-JUN26-D012|DON HARINA / WAWITA|DIESEL|X92ELM","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D013","DON HARINA / WAWITA","DIESEL","PPJK0A","DHAR-JUN26-D013|DON HARINA / WAWITA|DIESEL|PPJK0A","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D014","DON HARINA / WAWITA","DIESEL","I60PEY","DHAR-JUN26-D014|DON HARINA / WAWITA|DIESEL|I60PEY","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D015","DON HARINA / WAWITA","DIESEL","AMHUTM","DHAR-JUN26-D015|DON HARINA / WAWITA|DIESEL|AMHUTM","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D016","DON HARINA / WAWITA","DIESEL","32Z08A","DHAR-JUN26-D016|DON HARINA / WAWITA|DIESEL|32Z08A","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D017","DON HARINA / WAWITA","DIESEL","4GJUD2","DHAR-JUN26-D017|DON HARINA / WAWITA|DIESEL|4GJUD2","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D018","DON HARINA / WAWITA","DIESEL","C02OYE","DHAR-JUN26-D018|DON HARINA / WAWITA|DIESEL|C02OYE","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D019","DON HARINA / WAWITA","DIESEL","JJLJJQ","DHAR-JUN26-D019|DON HARINA / WAWITA|DIESEL|JJLJJQ","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D020","DON HARINA / WAWITA","DIESEL","5WHCVF","DHAR-JUN26-D020|DON HARINA / WAWITA|DIESEL|5WHCVF","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D021","DON HARINA / WAWITA","DIESEL","K2P2QY","DHAR-JUN26-D021|DON HARINA / WAWITA|DIESEL|K2P2QY","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D022","DON HARINA / WAWITA","DIESEL","CJ685M","DHAR-JUN26-D022|DON HARINA / WAWITA|DIESEL|CJ685M","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D023","DON HARINA / WAWITA","DIESEL","4ZNDKA","DHAR-JUN26-D023|DON HARINA / WAWITA|DIESEL|4ZNDKA","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D024","DON HARINA / WAWITA","DIESEL","2JVH12","DHAR-JUN26-D024|DON HARINA / WAWITA|DIESEL|2JVH12","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D025","DON HARINA / WAWITA","DIESEL","A3EBME","DHAR-JUN26-D025|DON HARINA / WAWITA|DIESEL|A3EBME","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D026","DON HARINA / WAWITA","DIESEL","HMX67Q","DHAR-JUN26-D026|DON HARINA / WAWITA|DIESEL|HMX67Q","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D027","DON HARINA / WAWITA","DIESEL","P6G0T2","DHAR-JUN26-D027|DON HARINA / WAWITA|DIESEL|P6G0T2","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D028","DON HARINA / WAWITA","DIESEL","WPYVEE","DHAR-JUN26-D028|DON HARINA / WAWITA|DIESEL|WPYVEE","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D029","DON HARINA / WAWITA","DIESEL","URMBZE","DHAR-JUN26-D029|DON HARINA / WAWITA|DIESEL|URMBZE","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-D030","DON HARINA / WAWITA","DIESEL","QMDJBF","DHAR-JUN26-D030|DON HARINA / WAWITA|DIESEL|QMDJBF","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E001","DON HARINA / WAWITA","EXTRA","DGXB7C","DHAR-JUN26-E001|DON HARINA / WAWITA|EXTRA|DGXB7C","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E002","DON HARINA / WAWITA","EXTRA","L0G5SO","DHAR-JUN26-E002|DON HARINA / WAWITA|EXTRA|L0G5SO","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E003","DON HARINA / WAWITA","EXTRA","SJZ0E0","DHAR-JUN26-E003|DON HARINA / WAWITA|EXTRA|SJZ0E0","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E004","DON HARINA / WAWITA","EXTRA","YXM6ZS","DHAR-JUN26-E004|DON HARINA / WAWITA|EXTRA|YXM6ZS","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E005","DON HARINA / WAWITA","EXTRA","RE3CEG","DHAR-JUN26-E005|DON HARINA / WAWITA|EXTRA|RE3CEG","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E006","DON HARINA / WAWITA","EXTRA","JUKHT4","DHAR-JUN26-E006|DON HARINA / WAWITA|EXTRA|JUKHT4","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E007","DON HARINA / WAWITA","EXTRA","CB1N7S","DHAR-JUN26-E007|DON HARINA / WAWITA|EXTRA|CB1N7S","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E008","DON HARINA / WAWITA","EXTRA","4RISMG","DHAR-JUN26-E008|DON HARINA / WAWITA|EXTRA|4RISMG","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E009","DON HARINA / WAWITA","EXTRA","2S01YW","DHAR-JUN26-E009|DON HARINA / WAWITA|EXTRA|2S01YW","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E010","DON HARINA / WAWITA","EXTRA","AV44PF","DHAR-JUN26-E010|DON HARINA / WAWITA|EXTRA|AV44PF","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E011","DON HARINA / WAWITA","EXTRA","Y6THNC","DHAR-JUN26-E011|DON HARINA / WAWITA|EXTRA|Y6THNC","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E012","DON HARINA / WAWITA","EXTRA","TARPQG","DHAR-JUN26-E012|DON HARINA / WAWITA|EXTRA|TARPQG","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E013","DON HARINA / WAWITA","EXTRA","LR8V54","DHAR-JUN26-E013|DON HARINA / WAWITA|EXTRA|LR8V54","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E014","DON HARINA / WAWITA","EXTRA","E7Q0JS","DHAR-JUN26-E014|DON HARINA / WAWITA|EXTRA|E7Q0JS","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E015","DON HARINA / WAWITA","EXTRA","6O75YG","DHAR-JUN26-E015|DON HARINA / WAWITA|EXTRA|6O75YG","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E016","DON HARINA / WAWITA","EXTRA","0VBOMW","DHAR-JUN26-E016|DON HARINA / WAWITA|EXTRA|0VBOMW","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E017","DON HARINA / WAWITA","EXTRA","8EUJ88","DHAR-JUN26-E017|DON HARINA / WAWITA|EXTRA|8EUJ88","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E018","DON HARINA / WAWITA","EXTRA","FYDDTK","DHAR-JUN26-E018|DON HARINA / WAWITA|EXTRA|FYDDTK","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E019","DON HARINA / WAWITA","EXTRA","NHW8EW","DHAR-JUN26-E019|DON HARINA / WAWITA|EXTRA|NHW8EW","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E020","DON HARINA / WAWITA","EXTRA","9US1QL","DHAR-JUN26-E020|DON HARINA / WAWITA|EXTRA|9US1QL","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E021","DON HARINA / WAWITA","EXTRA","G4EDVS","DHAR-JUN26-E021|DON HARINA / WAWITA|EXTRA|G4EDVS","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E022","DON HARINA / WAWITA","EXTRA","8KVJAG","DHAR-JUN26-E022|DON HARINA / WAWITA|EXTRA|8KVJAG","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E023","DON HARINA / WAWITA","EXTRA","11COP4","DHAR-JUN26-E023|DON HARINA / WAWITA|EXTRA|11COP4","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E024","DON HARINA / WAWITA","EXTRA","6I65W8","DHAR-JUN26-E024|DON HARINA / WAWITA|EXTRA|6I65W8","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E025","DON HARINA / WAWITA","EXTRA","E1P0HK","DHAR-JUN26-E025|DON HARINA / WAWITA|EXTRA|E1P0HK","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E026","DON HARINA / WAWITA","EXTRA","LL7V2W","DHAR-JUN26-E026|DON HARINA / WAWITA|EXTRA|LL7V2W","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E027","DON HARINA / WAWITA","EXTRA","T4QPO8","DHAR-JUN26-E027|DON HARINA / WAWITA|EXTRA|T4QPO8","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E028","DON HARINA / WAWITA","EXTRA","YCUHPK","DHAR-JUN26-E028|DON HARINA / WAWITA|EXTRA|YCUHPK","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E029","DON HARINA / WAWITA","EXTRA","QTBN48","DHAR-JUN26-E029|DON HARINA / WAWITA|EXTRA|QTBN48","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E030","DON HARINA / WAWITA","EXTRA","UKO86L","DHAR-JUN26-E030|DON HARINA / WAWITA|EXTRA|UKO86L","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E031","DON HARINA / WAWITA","EXTRA","4LHSK8","DHAR-JUN26-E031|DON HARINA / WAWITA|EXTRA|4LHSK8","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E032","DON HARINA / WAWITA","EXTRA","C50N5K","DHAR-JUN26-E032|DON HARINA / WAWITA|EXTRA|C50N5K","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E033","DON HARINA / WAWITA","EXTRA","JOJHQW","DHAR-JUN26-E033|DON HARINA / WAWITA|EXTRA|JOJHQW","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E034","DON HARINA / WAWITA","EXTRA","R82CC8","DHAR-JUN26-E034|DON HARINA / WAWITA|EXTRA|R82CC8","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E035","DON HARINA / WAWITA","EXTRA","YRL6XK","DHAR-JUN26-E035|DON HARINA / WAWITA|EXTRA|YRL6XK","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E036","DON HARINA / WAWITA","EXTRA","SQ00G8","DHAR-JUN26-E036|DON HARINA / WAWITA|EXTRA|SQ00G8","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E037","DON HARINA / WAWITA","EXTRA","L6H5UW","DHAR-JUN26-E037|DON HARINA / WAWITA|EXTRA|L6H5UW","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E038","DON HARINA / WAWITA","EXTRA","DMYB9K","DHAR-JUN26-E038|DON HARINA / WAWITA|EXTRA|DMYB9K","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E039","DON HARINA / WAWITA","EXTRA","63FGO8","DHAR-JUN26-E039|DON HARINA / WAWITA|EXTRA|63FGO8","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E040","DON HARINA / WAWITA","EXTRA","JQJNCJ","DHAR-JUN26-E040|DON HARINA / WAWITA|EXTRA|JQJNCJ","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E041","DON HARINA / WAWITA","EXTRA","PBDZ08","DHAR-JUN26-E041|DON HARINA / WAWITA|EXTRA|PBDZ08","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E042","DON HARINA / WAWITA","EXTRA","WUWTLK","DHAR-JUN26-E042|DON HARINA / WAWITA|EXTRA|WUWTLK","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E043","DON HARINA / WAWITA","EXTRA","UMODS8","DHAR-JUN26-E043|DON HARINA / WAWITA|EXTRA|UMODS8","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E044","DON HARINA / WAWITA","EXTRA","N35J6W","DHAR-JUN26-E044|DON HARINA / WAWITA|EXTRA|N35J6W","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E045","DON HARINA / WAWITA","EXTRA","FJMOLK","DHAR-JUN26-E045|DON HARINA / WAWITA|EXTRA|FJMOLK","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-E046","DON HARINA / WAWITA","EXTRA","803U08","DHAR-JUN26-E046|DON HARINA / WAWITA|EXTRA|803U08","2026-06-03","2026-06-30","DHAR-JUNIO-2026"
"DHAR-JUN26-S001","DON HARINA / WAWITA","SUPREME+","5DM460","DHAR-JUN26-S001|DON HARINA / WAWITA|SUPREME+|5DM460","2026-06-03","2026-06-30","DHAR-JUNIO-2026"